,IntLoad_Corezn,IntLoad_Topzn1,IntLoad_Topzn2,IntLoad_Topzn3,IntLoad_Topzn4,DiffuseSolar,DirectSolar
2006-10-10 04:00:00,6549.316341108355,536.2266514982348,345.5572891132426,536.2149260838319,345.5572891132426,0.0,0.0
2006-10-10 05:00:00,6613.289785215296,604.2848768028948,391.70290453910036,609.5144684926619,390.9786804001792,0.0,0.0
2006-10-10 06:00:00,7177.319541333058,758.5033841961392,493.007054257984,765.9207623399275,496.2630649245219,0.0,0.0
2006-10-10 07:00:00,18402.105736418256,2080.3788931855006,1358.2395533981994,2144.9587495440337,1393.3953326194874,31.0,615.0
2006-10-10 08:00:00,18569.96693587846,2073.999864388238,1336.1618998122538,2073.984903193118,1343.8465781562613,46.0,789.0
2006-10-10 09:00:00,18595.18328830239,2073.9969350104548,1325.1024519708908,2073.9579765016424,1349.7930571880747,68.0,870.0
2006-10-10 10:00:00,18596.25589864151,2073.968466067292,1314.2532997997494,2073.9322084395935,1335.9013726533562,93.0,910.0
2006-10-10 11:00:00,14662.391209737802,1551.3376414572645,1015.6700531055085,1577.984532892745,1015.9394263220736,103.0,930.0
2006-10-10 12:00:00,18762.204042824927,1981.0492184019838,1335.4928863184186,2073.9078176059684,1335.5289751554383,106.0,926.0
2006-10-10 13:00:00,18717.354757360044,1942.54878104326,1335.5270166209493,2073.9106548934546,1335.5306750860811,124.0,906.0
2006-10-10 14:00:00,18495.192148416045,1926.1175004403376,1335.5228797765826,2073.9056466779134,1335.5275632905534,117.0,870.0
2006-10-10 15:00:00,18474.538828772755,1935.4219681069312,1335.5283703893683,2073.9123439023415,1335.5301019949616,192.0,579.0
2006-10-10 16:00:00,9283.311659480994,939.345047101074,621.4425322750241,965.1589248396858,621.4411072634355,45.0,691.0
2006-10-10 17:00:00,6283.947047985669,649.9769992875277,433.12751583652084,672.1012087651454,412.03341034076266,12.0,255.0
2006-10-10 18:00:00,6232.645860675386,672.0422727972402,433.12778382500613,672.1015727779816,433.1278151968231,0.0,0.0
2006-10-10 19:00:00,5945.329289378138,644.0583933145618,415.0516319602072,644.0520516558802,415.05165118165417,0.0,0.0
2006-10-10 20:00:00,5969.1012187025435,644.0654023983795,415.0516154522536,644.0520067112789,415.0516127328522,0.0,0.0
2006-10-10 21:00:00,5320.202467491607,574.9649186563265,370.5212118883584,575.0053739208519,370.68073227140394,0.0,0.0
2006-10-10 22:00:00,5147.726398334876,555.2737178810299,358.78568861952715,557.4263124274225,358.4681091549219,0.0,0.0
2006-10-10 23:00:00,4853.943799366503,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-11 00:00:00,4808.850069018971,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-11 01:00:00,4822.569015333423,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-11 02:00:00,4835.29237183401,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-11 03:00:00,6236.844829600589,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-11 04:00:00,6549.316341108355,536.2266514982348,345.5572891132426,536.2149260838319,345.5572891132426,0.0,0.0
2006-10-11 05:00:00,6621.372349314943,603.6835081754884,391.0254768293666,608.3035549953546,390.33874123048884,0.0,0.0
2006-10-11 06:00:00,7174.676997533092,758.6178596346202,493.6917172366657,765.9789487809053,498.79157578717985,0.0,0.0
2006-10-11 07:00:00,18425.10517924437,2081.248665242755,1358.9105820376199,2111.735887035533,1375.1419192220415,77.0,356.0
2006-10-11 08:00:00,18570.059911532313,2074.000356063383,1335.9140663557575,2074.0224829556673,1348.602894983358,107.0,443.0
2006-10-11 09:00:00,18594.787437946718,2073.96011449622,1335.6140963920764,2073.983964387231,1336.0115555297798,111.0,737.0
2006-10-11 10:00:00,18595.855252350422,2073.941104349862,1334.807558097766,2073.9065949115393,1335.530900415863,106.0,895.0
2006-10-11 11:00:00,14662.127942001589,1554.0863545864686,1015.9191546555014,1577.9786378835897,1015.9332350879336,129.0,908.0
2006-10-11 12:00:00,18761.86857096406,1984.762887778746,1335.5182706037433,2073.9014822690706,1335.524227401223,139.0,919.0
2006-10-11 13:00:00,18721.642945308595,1937.8421225219356,1335.525650824171,2073.9048285496474,1335.5267873448188,216.0,719.0
2006-10-11 14:00:00,18491.963359805155,1937.8027805615404,1335.535042117188,2073.921347748904,1335.5417916798342,292.0,373.0
2006-10-11 15:00:00,18473.97374091396,2000.500798700869,1335.531169622785,2073.9126908639773,1335.5293993769287,261.0,219.0
2006-10-11 16:00:00,9282.914473774275,960.4009657860638,621.4430283314745,965.1595925979075,621.4424047242198,138.0,185.0
2006-10-11 17:00:00,6282.608185747113,661.2146852950086,433.1279330850775,661.3593468640738,419.06517548958664,27.0,30.0
2006-10-11 18:00:00,6232.149478125768,672.0789065165512,433.12814704134007,672.1020252490557,433.12814995193264,0.0,0.0
2006-10-11 19:00:00,5944.8200326595415,644.0657484506719,415.0522137772235,644.0528841547823,415.0521518864241,0.0,0.0
2006-10-11 20:00:00,5968.579706466978,644.0661091789127,415.0517168812862,644.0522072871748,415.3120413711248,0.0,0.0
2006-10-11 21:00:00,5319.740287795849,574.9652061526199,370.5213417353474,574.952638029274,371.0337043185167,0.0,0.0
2006-10-11 22:00:00,5147.546134470408,555.6067329995811,358.7939347699484,557.3252141651344,358.9492655846958,0.0,0.0
2006-10-11 23:00:00,4853.58994759368,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-12 00:00:00,4808.485438338775,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-12 01:00:00,4822.285409415906,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-12 02:00:00,4835.0678887750955,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-12 03:00:00,6175.683097649242,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-12 04:00:00,6549.316341108355,536.2266514982348,345.5572891132426,536.2149260838319,345.5572891132426,0.0,0.0
2006-10-12 05:00:00,6621.355624747284,604.5391722546474,391.19738377382663,608.3899661439314,391.10503471528455,0.0,0.0
